doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1016/j.apmt.2024.102160,Self-isolating electrode deposition process using the area-selective MoO2 and MoO3 atomic layer deposition technique,Elsevier BV,2024,4,,False,Pending
10.1039/d4cp03117b,Understanding the role of carboxylic acid surfactants in the growth inhibition effect during area-selective atomic layer deposition: the case of ZnO growth on Cu and Cu<sub>2</sub>O,Royal Society of Chemistry,2024,4,https://pubs.rsc.org/en/content/articlepdf/2024/cp/d4cp03117b,True,Pending
10.1021/acs.chemmater.4c02231,Role of Molecular Orientation: Comparison of Nitrogenous Aromatic Small Molecule Inhibitors for Area-Selective Atomic Layer Deposition,American Chemical Society,2024,4,,False,Pending
10.1021/acs.jpcc.4c02884,Mechanisms of Area-Selective Atomic Layer Deposition and Their Impact on Feature Sizes,American Chemical Society,2024,2,,True,Pending
10.1116/6.0003838,Stochastic lattice model for atomic layer deposition and area-selective deposition of metal oxides: Visualization and analysis of lateral overgrowth during area-selective deposition,American Institute of Physics,2024,2,,False,Pending
10.1016/j.jsamd.2024.100754,Adsorption of dimethylaluminum isopropoxide (DMAI) on the Al2O3 surface: A machine-learning potential study,Elsevier BV,2024,13,,True,Pending
10.1021/acsami.3c17917,Unfolding an Elusive Area-Selective Deposition Process: Atomic Layer Deposition of TiO<sub>2</sub> and TiON on SiN vs SiO<sub>2</sub>,American Chemical Society,2024,12,,False,Pending
10.1016/j.cej.2024.150760,Highly area-selective atomic layer deposition of device-quality Hf1-xZrxO2 thin films through catalytic local activation,Elsevier BV,2024,12,,False,Pending
10.1021/acsami.3c14821,Reactive Vapor-Phase Inhibitors for Area-Selective Depositions at Tunable Critical Dimensions,American Chemical Society,2024,11,,False,Pending
10.1002/adma.202313571,Area‐Selective Chemical Vapor Deposition of Gold by Electron Beam Seeding,Advanced Materials,2024,10,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202313571,True,Pending
10.1016/j.apsusc.2024.160099,Area-selective atomic layer deposition of Ru thin films by chemo-selective inhibition of alkyl aldehyde molecules on nitride surfaces,Elsevier BV,2024,10,,False,Pending
10.1021/acs.chemmater.3c03161,HfO<sub>2</sub> Area-Selective Atomic Layer Deposition with a Carbon-Free Inhibition Layer,American Chemical Society,2024,10,,False,Pending
10.1016/j.matlet.2024.136570,Selective nitride passivation using vapor-dosed aldehyde inhibitors for area-selective atomic layer deposition,Elsevier BV,2024,10,,False,Pending
10.1016/j.bios.2024.116433,Controllable ion design in flexible metal organic framework film for performance regulation of electrochemical biosensing,Elsevier BV,2024,7,,False,Pending
10.1002/smll.202402543,Sustained Area‐Selectivity in Atomic Layer Deposition of Ir Films: Utilization of Dual Effects of O<sub>3</sub> in Deposition and Etching,Wiley,2024,7,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202402543,True,Pending
10.1016/j.dche.2024.100140,Multiscale computational fluid dynamics modeling of an area-selective atomic layer deposition process using a discrete feed method,Elsevier BV,2024,11,,True,Pending
10.3390/mi15020261,Area-Selective Growth of Zinc Oxide Nanowire Arrays for Piezoelectric Energy Harvesting,Multidisciplinary Digital Publishing Institute,2024,9,https://www.mdpi.com/2072-666X/15/2/261/pdf?version=1707562578,True,Pending
10.1116/6.0003941,Preparation of Br-terminated Si(100) and Si(111) surfaces and their use as atomic layer deposition resists,American Institute of Physics,2024,6,,False,Pending
10.1021/acsmaterialslett.4c01024,Photocatalytic Surface Initiation for Area-Selective Chemical Vapor Deposition of Polymer Thin Film,American Chemical Society,2024,5,,False,Pending
10.1021/acsnano.4c10387,Toward Spatial Control of Reaction Selectivity on Photocatalysts Using Area-Selective Atomic Layer Deposition on the Model Dual Site Electrocatalyst Platform,American Chemical Society,2024,5,,True,Pending
10.1021/acs.chemmater.4c00475,Area Selective Deposition of Ru on W/SiO<sub>2</sub> Nanopatterns via Sequential Reactant Dosing and Thermal Defect Correction,American Chemical Society,2024,4,,False,Pending
10.1116/6.0003790,Inherent area selective deposition of silicon dioxide in multilayer 3D SiO<i>x</i>–SiN<i>x</i> stacks,American Institute of Physics,2024,3,,False,Pending
10.1116/6.0003847,Effect of Al precursor’s properties on interactions with self-assembled monolayers for area selective deposition,American Institute of Physics,2024,3,,False,Pending
10.1016/j.xcrp.2024.102254,Area-selective deposition of lateral van der Waals semiconductor heterostructures,Elsevier BV,2024,3,,True,Pending
10.1002/adhm.202403149,Area Selective Atomic Layer Deposition for the Use on Active Implants: An Overview of Available Process Technology,Wiley,2024,3,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adhm.202403149,True,Pending
10.3390/nano14141212,Area-Selective Atomic Layer Deposition of Ru Using Carbonyl-Based Precursor and Oxygen Co-Reactant: Understanding Defect Formation Mechanisms,Multidisciplinary Digital Publishing Institute,2024,2,https://www.mdpi.com/2079-4991/14/14/1212/pdf?version=1721200561,True,Pending
10.1116/6.0003261,Area-selective atomic layer deposition of palladium,American Institute of Physics,2024,2,,False,Pending
10.1016/j.surfin.2024.104133,In situ differential atomic force microscopy (AFM) measurement for ultra-thin Thiol SAM patterns by area-selective deposition technique,Elsevier BV,2024,2,,False,Pending
10.7567/ssdm.2024.c-4-02,Development of Hybrid Bonding Using Area-Selective Passivation Layer Deposition Technology on Various Substrates for Heterogeneous Integrated Structure,,2024,1,,False,Pending
10.35848/1347-4065/ad9481,Development of hybrid bonding using area-selective passivation layer deposition technology on various substrates for heterogeneous integrated structure,Institute of Physics,2024,1,https://iopscience.iop.org/article/10.35848/1347-4065/ad9481/pdf,True,Pending
10.1021/acs.chemmater.4c02521,Area-Selective Molecular Layer Deposition of Alucone on Photoresist for Enhanced Pattern Transfer,American Chemical Society,2024,1,,False,Pending
