doi,publisher,pdf_url,open_access,title,publication_year,cited_by_count
10.1021/acsami.5c24346,American Chemical Society,,False,Light-Programmable IGZO Optoelectronic Memristor for Multifunctional Neuromorphic Computing,2026,0
10.1002/adma.72129,Advanced Materials,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.72129,True,Chip‐Scale Graphene/IGZO Cold Source FET Array Enabling Sub‐60 mV dec <sup>−1</sup> Super‐Steep Subthreshold Swing (Adv. Mater. 7/2026),2026,0
10.1088/1361-6641/ae41df,IOP Publishing,,False,Dual-gate ITZO/IGZO heterojunction thin-film transistor with enhanced mobility and stability,2026,0
10.1088/1674-4926/25050019,IOP Publishing,,False,Strategical dynamic modulation of turn-on voltage for write transistor introducing charge-trap layer in 2T0C DRAM cell employing IGZO channel,2026,0
10.1088/1361-6595/ae4779,IOP Publishing,,True,Anisotropic quasi-atomic layer etching of InGaZnO <sub>4</sub> using unbiased CH <sub>4</sub> and continuous/pulsed biased O <sub>2</sub> plasmas,2026,0
10.1007/s44469-026-00006-9,SHILAP Revista de lepidopterología,,True,"A stable pixel circuit with constant current compensation for threshold voltage, mobility, and subthreshold swing variations",2026,0
10.1007/s44469-025-00003-4,SHILAP Revista de lepidopterología,,True,An a-IGZO TFT-based AMOLED pixel circuit for highly stable driving current under pico-ampere-range current region,2026,0
10.3390/coatings16020161,Multidisciplinary Digital Publishing Institute,,True,Enhanced Current Saturation in IGZO Thin Film Transistors Using a Source-Connected Bottom Gate Structure,2026,0
10.1021/acsaelm.5c02471,American Chemical Society,,False,"Interfacial Oxygen Coordination Controlled by Mo, Cu, and Cr Electrodes in ALD-Grown IGZO Thin-Film Transistors",2026,0
10.1063/5.0299768,American Institute of Physics,,False,High-performance annealing-free InGaZnOx thin film transistors by thermal ALD,2026,0
10.1002/adfm.202519144,Wiley,,False,Multispectral Oxide Phototransistor Array via Electrohydrodynamic Subpixel QD Patterning and Engineered IGZO Channels for Persistent Photoconductivity Suppression,2026,0
10.20517/microstructures.2025.140,Microstructures,,True,"Tellurium-based materials for nanoelectronics: applications, challenges, and outlooks",2026,0
10.1109/led.2026.3656803,Institute of Electrical and Electronics Engineers,,False,Characterization of Thermal Stability and Unexpected Mobility Enhancement in IGZO FETs Measured Up to 750 °C,2026,0
10.1021/acsami.5c16637,American Chemical Society,,False,Enhancing Performance and Reliability of FeNAND Hybrid Memory via a 2D-WS <sub>2</sub> Layer for Charge Trapping and Ferroelectric Crystallization,2026,0
10.1016/j.mssp.2026.110433,Elsevier BV,,False,High-performance bilayer IGO/IGZO thin-film transistors based on defect self-compensation,2026,0
10.1063/5.0302341,American Institute of Physics,,False,Trade-off optimization of electrical performance and reliability in IGZO TFTs under light stress with Al2O3/ZrO2 bilayer dielectrics,2026,0
10.1109/ted.2025.3648977,Institute of Electrical and Electronics Engineers,,False,Logic-Gate-Based Scan Driver Circuits With Low-Temperature Polycrystalline Silicon and Metal-Oxide Thin-Film Transistor Technology,2026,0
10.1109/led.2026.3655893,Institute of Electrical and Electronics Engineers,,False,First Demonstration of High-Performance Three-Tier IGZO Channels Gate-All-Around Thin-Film Transistors With Novel Metal Interlayer Contact,2026,0
10.1109/iceic69189.2026.11386426,,,False,Analyses on Band Structuresof IGZO/ p-type Semiconductor Heterojunctions for Hole-Injection-Assisted High-Speed Erase in Flash Memory,2026,0
10.1109/iceic69189.2026.11386020,,,False,A Novel Structure to Improve Cell Characteristics from the Perspective of IGZO Channel and Ferroelectric Storage in 3D NAND Flash with Multi-Deck,2026,0
10.1109/led.2026.3654557,Institute of Electrical and Electronics Engineers,,False,Fiber-Shaped Optoelectronic Synaptic Device for Neuromorphic Computing in Electronic Textiles,2026,0
10.1109/ted.2025.3650534,Institute of Electrical and Electronics Engineers,,True,Indium-Gallium-Zinc Oxide Thin-Film Transistor Optimization for Memristive Applications,2026,0
10.1021/acs.jpclett.5c03934,American Chemical Society,,False,ALD-Driven Ultrathin IGZO Neuromorphic Transistors with Defect-Engineered 1/ <i>f</i> Noise for Stable Multimodal Information Encryption,2026,0
10.3390/nano16020084,Multidisciplinary Digital Publishing Institute,https://www.mdpi.com/2079-4991/16/2/84/pdf?version=1767856098,True,Design and Fabrication of a Low-Voltage OPAMP Based on a-IGZO Thin-Film Transistors,2026,0
10.1088/2515-7639/ae35a7,IOP Publishing,https://iopscience.iop.org/article/10.1088/2515-7639/ae35a7/pdf,True,Influence of fabrication parameters on the Schottky barrier modulation of Mo/MoO <sub> <i>x</i> </sub> /IGZO/Ti/Mo memristor,2026,0
10.1038/s41598-025-34000-8,Nature Portfolio,https://www.nature.com/articles/s41598-025-34000-8_reference.pdf,True,"Exploring optoelectronic and photovoltaic properties of Be3MF3 (M = P, As, Sb) perovskites via machine learning and numerical simulation",2026,0
10.1088/1361-6463/ae357c,Institute of Physics,,False,Influence of bilayer high- <i>k</i> Al <sub>2</sub> O <sub>3</sub> and HfO <sub>2</sub> gate insulators on the electrical performance of amorphous oxide thin-film transistors,2026,0
10.1021/acsnano.5c14197,American Chemical Society,,False,Metal-Induced Oxygen Vacancy Control in InGaZnO/Hf <sub>0.5</sub> Zr <sub>0.5</sub> O <sub>2</sub> Ferroelectric Field-Effect Transistor Arrays for Simultaneous Improvement of Memory Window and Electrical Stability,2026,0
10.1021/acsami.5c23099,American Chemical Society,,False,Defect Reconfiguration through Surface Functionalization by Galvanic Peeling Treatment for Reliable and Robust InGaZnO TFTs,2026,0
10.1007/s42341-025-00693-x,Springer Science+Business Media,,False,Reliability Strategies for a-IGZO Thin-Film Transistors Under Stress Environments,2026,0
10.3390/nano16020078,Multidisciplinary Digital Publishing Institute,https://www.mdpi.com/2079-4991/16/2/78/pdf,True,Inverters with Different Load Configurations and a Two-Input Multiplexer Based on IGZO NMOS TFTs,2026,0
10.1007/s12034-025-03525-z,Springer Science+Business Media,,False,"Tailoring the photovoltaic performance of halide double perovskites X2AgBiI6 (X = Rb, K) using SCAPS-1D",2026,0
10.1109/ted.2025.3648369,Institute of Electrical and Electronics Engineers,,False,Effects of Oxygen-to-Argon Flow Ratio During Sputter Deposition of Indium–Gallium–Zinc Oxide on the Stability of Fluorinated Thin-Film Transistors,2026,0
10.1021/acsaelm.5c02183,American Chemical Society,,False,Short-Channel Features and Channel Length Guideline in High-Resolution Display Panel Oxide Transistors,2026,0
10.1039/d5nh00720h,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlepdf/2026/nh/d5nh00720h,True,An IGZO phototransistor-based ternary inverter integrating optical sensing and weight quantization in ternary neural networks for color image recognition,2026,0
10.1109/lssc.2026.3651909,Institute of Electrical and Electronics Engineers,,False,Dual-Band Voltage-Controlled Oscillator for CB and HF RFID Bands in a Flexible IGZO Technology,2026,0
10.26599/nr.2026.94908425,Springer Science+Business Media,https://www.sciopen.com/local/article_pdf/10.26599/NR.2026.94908425.pdf,True,"High-performance carbon nanotube thin-film transistors via atomic layer etching-assisted, resist-contamination-free fabrication",2026,0
10.1109/jeds.2026.3653818,Institute of Electrical and Electronics Engineers,,True,Investigation of PBTS-Induced Degradation Mechanisms in SA TG Coplanar IGZO TFTs Using Low-Frequency Noise Analysis,2026,0
10.1039/d5tc04196a,Royal Society of Chemistry,,False,Enhancing proton irradiation tolerance of a-IGZO thin-film transistors through hydrogen doping,2026,0
10.1109/tbcas.2026.3654620,Institute of Electrical and Electronics Engineers,,False,DERMIS: End-to-End Design of a Fully Integrated Large-Area Grasp-State-Adaptive Tactile Sensor System on a-IGZO TFT,2026,0
10.1002/aisy.70217,Wiley,,True,Optoelectronic Neuromorphic System Based on Amorphous Indium–Gallium–Zinc–Oxide Thin‐Film Transistor for Spiking Neural Networks,2026,0
10.1088/1674-4926/25060032,IOP Publishing,,False,Optoelectronic synapses based on IGZO/Bi <sub>3</sub> <sub>.</sub> <sub>2</sub> <sub>5</sub> La <sub>0</sub> <sub>.</sub> <sub>7</sub> <sub>5</sub> Ti <sub>3</sub> O <sub>1</sub> <sub>2</sub> heterojunctions for human brain learning mechanism simulation,2026,0
10.1109/jflex.2026.3658022,Institute of Electrical and Electronics Engineers,,True,Digital Design Techniques for IGZO-Based Circuits,2026,0
10.1109/access.2026.3658220,Institute of Electrical and Electronics Engineers,,True,A Physics-Regularized Neural Surrogate Framework for Printed Memristors,2026,0
10.1109/tdmr.2026.3660293,Institute of Electrical and Electronics Engineers,,False,Enhanced Stability in Sn-Doped InGaZnO TFTs: The Critical Role of Channel Length and the Dual Effect of Lateral Field Revealed by eMSM Analysis,2026,0
10.1109/led.2026.3661984,Institute of Electrical and Electronics Engineers,,False,New Insights into Low-Temperature Thermal Stability and PBTI in Back-Gated IGZO/HfO <sub>2</sub> Transistors Related to Oxygen Migration,2026,0
10.1039/d5mh02224j,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlepdf/2026/mh/d5mh02224j,True,Gate-controlled neuromodulatory optical synaptic transistor for adaptive learning and energy-accuracy balance,2026,0
10.1039/d5tc03805g,Royal Society of Chemistry,,False,Optoelectronic synaptic devices based on solution-processed microcrystal indium gallium zinc oxide for neuromorphic computing and visual perception,2026,0
10.1109/ted.2026.3660228,Institute of Electrical and Electronics Engineers,,False,A Novel Ferroelectric NAND Cell Structure Featuring Ultrathin IGZO Charge Trap Layer for Superior Endurance and Retention,2026,0
10.1109/access.2026.3665692,Institute of Electrical and Electronics Engineers,,True,Effects of Programming-Pulse Frequency on Synaptic Characteristics of Amorphous IGZO Thin-Film Transistors With Defective Gate Oxides,2026,0
10.1109/ted.2026.3660607,Institute of Electrical and Electronics Engineers,,False,Analytical Surface Potential-Based Compact Model for Vertical Cylindrical Independent Dual Gate a-InGaZnO FETs,2026,0
10.1109/ted.2026.3661952,Institute of Electrical and Electronics Engineers,,False,Automated High-Precision Parameter Extraction for Thin-Film Transistors via a GRU-Based Neural Network,2026,0
10.1109/jsen.2026.3661008,IEEE Sensors Council,,True,Non-invasive and ultrasensitive glucose detection via electrolyte-gated IGZO thin-film transistors,2026,0
10.1109/ted.2026.3663136,Institute of Electrical and Electronics Engineers,,False,Evolution of Enhanced Performance of ITO Framework-Based TFTs,2026,0
10.1109/led.2026.3665028,Institute of Electrical and Electronics Engineers,,False,Demonstration of 2T1C 3D-DRAM with IGZO Vertical Channel Access Transistors for BEOL Monolithic Multi-Deck Stacking,2026,0
10.1109/jflex.2026.3669472,Institute of Electrical and Electronics Engineers,,False,A Hybrid EOG System featuring Flexible a-IGZO TFTs and a 180 nm CMOS IC,2026,0
10.1109/jflex.2026.3669885,Institute of Electrical and Electronics Engineers,,False,A Gain Boosted Cross-Coupled Amplifier using a-IGZO TFTs on a Flexible Substrate,2026,0
10.1109/led.2026.3670873,Institute of Electrical and Electronics Engineers,,False,"Thermally Stable, Low-Resistance Source/Drain Contacts in a-IGZO TFTs Using an Indium Interlayer",2026,0
10.1109/led.2026.3671286,Institute of Electrical and Electronics Engineers,,False,Multi-Layer Channel-All-Around InGaZnO Transistors for On-State Current and Threshold Voltage Tuning in Future CFET Applications,2026,0
10.1016/j.cej.2025.172405,Elsevier BV,,False,Self-powered p-GaN/n-IGZO ultraviolet photodetectors with enhanced sensitivity enabled by antireflective nanopillars,2025,0
10.1109/ted.2025.3646595,Institute of Electrical and Electronics Engineers,,False,Impact of S/D Contacts on Asymmetric Performance of IGZO Vertical Channel-All-Around Field-Effect Transistors,2025,0
10.1002/smll.202504148,Wiley,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202504148,True,160 GHz Schottky Diodes from Solution‐Processed IGZO,2025,0
10.1016/j.sna.2025.117441,Elsevier BV,,False,Study of active-matrix high-power transistor design for electrical stimulation,2025,0
10.54097/1ckm7b73,Academic Journal of Science and Technology,https://drpress.org/ojs/index.php/ajst/article/download/32310/31629,True,Beyond Moore’s Law: Current Research on New Semiconductor Materials and Future Applications’ Trends,2025,0
10.1002/lpor.202502533,Wiley,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/lpor.202502533,True,Multispectral Ferroelectric Optoelectronic Synapses with Polarization‐Controlled Memory Capability for Brain‐Inspired Visual Processing,2025,0
10.1016/j.ceja.2025.101016,Elsevier BV,,True,"Understanding of indium-gallium-zinc oxide wet etching in acidic solutions: Reaction mechanism, kinetics, and surface properties",2025,0
10.1109/jsen.2025.3646277,IEEE Sensors Council,,False,IGZO/IGMO Phototransistor Based on Photogating Effect for High-Performance Solar-Blind Ultraviolet Detection,2025,0
10.25130/tjps.v30i6.1787,Tikrit Journal of Pure Science,https://tjpsj.org/index.php/tjps/article/download/1787/1468,True,Optimization of Tin-Based Lead-Free Perovskite Solar Cells Using SCAPS-1D: Investigating ETL and HTL Materials for Enhanced Efficiency,2025,0
10.35848/1347-4065/ae312c,Institute of Physics,,True,Systematic analysis of optical constants in IGZO thin films under controlled oxygen partial pressure and working pressure,2025,0
10.1002/aelm.202500642,Wiley,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500642,True,ALD Reactivity‐Driven 2DEG‐Like Interfacial Conduction in Nanolaminate InGaZnO Transistors toward High‐Mobility and Stable Oxide Electronics,2025,0
10.1039/d5na00844a,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlepdf/2026/na/d5na00844a,True,Enabling scalable ferroelectric-based future generation vertical NAND flash with bonding-friendly architecture: strategies for erase and disturb optimization,2025,0
10.1109/led.2025.3647117,Institute of Electrical and Electronics Engineers,,False,Gate-First/Channel-Last Process for High-Performance a-IGZO Gate-All-Around Nanosheet FETs,2025,0
10.1016/j.wasman.2025.115304,Elsevier BV,,False,A waste-free segmented roasting strategy for sustainable recovery of critical metals from spent Indium-Gallium-Zinc oxide,2025,0
10.1109/led.2025.3645743,Institute of Electrical and Electronics Engineers,,False,Improved Reliability of Short-Channel IGZO TFTs With Hydrogen Scavenger Gate Metal,2025,0
10.1109/eict68394.2025.11355555,,,False,Device Simulation and Optimization of Non-toxic Highly Efficient CsSnI₃-based Perovskite Solar Cell,2025,0
10.1002/aelm.202500548,Wiley,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500548,True,Oxygen Plasma‐Treated Dielectric‐Channel Interface for BEOL‐Compatible IGZO TFTs with High Electrical Stability,2025,0
10.1021/acsami.5c20032.s001,Figshare (United Kingdom),,True,Beyond Silicon Frontiersin Neuromorphic Computingand Logic Circuits: Single-Walled Carbon Nanotube Thin-Film Transistors,2025,0
10.1109/ted.2025.3641096,Institute of Electrical and Electronics Engineers,,False,High-Performance p-Type SnO Thin-Film Transistors With Superior Bias Stress Stability via Fluorine Plasma Treatment,2025,1
