doi,title,publication_year,cited_by_count,citation_normalized_percentile,pdf_url,open_access,source,priority,download_status
10.1038/s41560-019-0428-9,Long cycle life and dendrite-free lithium morphology in anode-free lithium pouch cells enabled by a dual-salt liquid electrolyte,2019.0,906,0.99962025,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1073/pnas.1600422113,"Flexible, solid-state, ion-conducting membrane with 3D garnet nanofiber networks for lithium batteries",2016.0,901,0.99930482,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/anie.200500946,Self‐Assembled Vanadium Pentoxide (V<sub>2</sub>O<sub>5</sub>) Hollow Microspheres from Nanorods and Their Application in Lithium‐Ion Batteries,2005.0,882,0.99925216,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/ja502133j,Suppression of Lithium Dendrite Growth Using Cross-Linked Polyethylene/Poly(ethylene oxide) Electrolytes: A New Approach for Practical Lithium-Metal Polymer Batteries,2014.0,855,0.99780802,https://pubs.acs.org/doi/pdf/10.1021/ja502133j,True,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1073/pnas.1708489114,An anion-immobilized composite electrolyte for dendrite-free lithium metal anodes,2017.0,836,0.99943935,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1126/sciadv.1601659,"Toward garnet electrolyte–based Li metal batteries: An ultrathin, highly effective, artificial solid-state electrolyte/metallic Li interface",2017.0,808,0.99935204,https://advances.sciencemag.org/content/advances/3/4/e1601659.full.pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/0016-0032(56)91157-7,Electrolyte solutions,1956.0,800,0.99869826,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1021/acs.chemmater.6b00610,Direct Observation of the Interfacial Instability of the Fast Ionic Conductor Li<sub>10</sub>GeP<sub>2</sub>S<sub>12</sub> at the Lithium Metal Anode,2016.0,792,0.99869749,,False,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1016/j.nanoen.2016.09.002,Flexible and ion-conducting membrane electrolytes for solid-state lithium batteries: Dispersion of garnet nanoparticles in insulating polyethylene oxide,2016.0,792,0.99842585,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acs.chemmater.7b03002,Surface Chemistry Mechanism of Ultra-Low Interfacial Resistance in the Solid-State Electrolyte Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub>,2017.0,792,0.99875922,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1126/sciadv.aau9245,Fluorinated solid electrolyte interphase enables highly reversible solid-state Li metal battery,2018.0,776,0.9982803,https://advances.sciencemag.org/content/advances/4/12/eaau9245.full.pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/aenm.202002689,Solid‐State Li–Metal Batteries: Challenges and Horizons of Oxide and Sulfide Solid Electrolytes and Their Interfaces,2020.0,738,0.99912587,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201401408,Solid Electrolyte: the Key for High‐Voltage Lithium Batteries,2014.0,707,0.9968297,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nmat3784,Origin of additional capacities in metal oxide lithium-ion battery electrodes,2013.0,706,0.99893034,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41586-021-03486-3,A dynamic stability design strategy for lithium metal solid state batteries,2021.0,691,0.99974837,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/jacs.7b06327,"Influence of Lattice Polarizability on the Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6</sub>PS<sub>5</sub>X (X = Cl, Br, I)",2017.0,683,0.99718756,,False,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1016/j.electacta.2016.12.018,Intergranular Li metal propagation through polycrystalline Li6.25Al0.25La3Zr2O12 ceramic electrolyte,2016.0,672,0.99612843,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1021/jacs.6b06777,Transition from Superlithiophobicity to Superlithiophilicity of Garnet Solid-State Electrolyte,2016.0,655,0.99882934,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1039/c2jm31413d,Optimizing Li+ conductivity in a garnet framework,2012.0,654,0.99343416,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acsami.9b02537,Toward a Fundamental Understanding of the Lithium Metal Anode in Solid-State Batteries—An Electrochemo-Mechanical Study on the Garnet-Type Solid Electrolyte Li<sub>6.25</sub>Al<sub>0.25</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub>,2019.0,654,0.99918443,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1039/c9ee02311a,Air-stable Li<sub>3</sub>InCl<sub>6</sub> electrolyte with high voltage compatibility for all-solid-state batteries,2019.0,646,0.99762665,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adma.201606042,Reducing Interfacial Resistance between Garnet‐Structured Solid‐State Electrolyte and Li‐Metal Anode by a Germanium Layer,2017.0,642,0.99913605,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/anie.201710841,A 3D Nanostructured Hydrogel‐Framework‐Derived High‐Performance Composite Polymer Lithium‐Ion Electrolyte,2018.0,634,0.9989664,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsenergylett.9b01693,Elucidating Reversible Electrochemical Redox of Li<sub>6</sub>PS<sub>5</sub>Cl Solid Electrolyte,2019.0,617,0.99602572,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1149/2.047304jes,Li-Ion Cell Operation at Low Temperatures,2013.0,604,0.99657432,https://iopscience.iop.org/article/10.1149/2.047304jes/pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/0010-4655(74)90070-8,Positronfit extended: A new version of a program for analysing position lifetime spectra,1974.0,598,0.99126799,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/anie.201814222,Boosting Solid‐State Diffusivity and Conductivity in Lithium Superionic Argyrodites by Halide Substitution,2019.0,598,0.99812716,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.joule.2022.06.002,Toward practical aqueous zinc-ion batteries for electrochemical energy storage,2022.0,597,0.99978817,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/j.nanoen.2018.01.028,A durable and safe solid-state lithium battery with a hybrid electrolyte membrane,2018.0,594,0.99903323,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1002/anie.201607539,Lithium Ion Pathway within Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub>‐Polyethylene Oxide Composite Electrolytes,2016.0,582,0.9963443,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.ssi.2015.06.001,Interphase formation on lithium solid electrolytes—An in situ approach to study interfacial reactions by photoelectron spectroscopy,2015.0,575,0.99147617,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/anie.201901938,Lithium Chlorides and Bromides as Promising Solid‐State Chemistries for Fast Ion Conductors with Good Electrochemical Stability,2019.0,573,0.99765686,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41560-021-00952-0,"High areal capacity, long cycle life 4 V ceramic all-solid-state Li-ion batteries enabled by chloride solid electrolytes",2022.0,573,0.99977339,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adma.201802661,A Silica‐Aerogel‐Reinforced Composite Polymer Electrolyte with High Ionic Conductivity and High Modulus,2018.0,561,0.99805309,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201804004,Rational Design of Hierarchical “Ceramic‐in‐Polymer” and “Polymer‐in‐Ceramic” Electrolytes for Dendrite‐Free Solid‐State Batteries,2019.0,553,0.99907224,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41560-018-0214-0,Tuning the electrolyte network structure to invoke quasi-solid state sulfur conversion and suppress lithium dendrite formation in Li–S batteries,2018.0,549,0.99839614,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.joule.2017.08.009,4.0 V Aqueous Li-Ion Batteries,2017.0,543,0.99841456,http://www.cell.com/article/S254243511730034X/pdf,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1038/s41586-021-03410-9,A highly stable and flexible zeolite electrolyte solid-state Li–air battery,2021.0,537,0.99959736,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/anie.201608924,Hybrid Polymer/Garnet Electrolyte with a Small Interfacial Resistance for Lithium‐Ion Batteries,2016.0,536,0.99815411,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1021/jacs.8b03106,Garnet Electrolyte with an Ultralow Interfacial Resistance for Li-Metal Batteries,2018.0,531,0.9985387,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adfm.201805301,Low Resistance–Integrated All‐Solid‐State Battery Achieved by Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub> Nanowire Upgrading Polyethylene Oxide (PEO) Composite Electrolyte and PEO Cathode Binder,2018.0,531,0.99862335,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/advs.201600377,In Situ Generation of Poly (Vinylene Carbonate) Based Solid Electrolyte with Interfacial Stability for LiCoO<sub>2</sub> Lithium Batteries,2016.0,517,0.99445434,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201600377,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201903253,Stack Pressure Considerations for Room‐Temperature All‐Solid‐State Lithium Metal Batteries,2019.0,517,0.9976007,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adma.201806082,Self‐Suppression of Lithium Dendrite in All‐Solid‐State Lithium Metal Batteries with Poly(vinylidene difluoride)‐Based Solid Electrolytes,2019.0,513,0.99836886,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/anie.202001793,Deep‐Eutectic‐Solvent‐Based Self‐Healing Polymer Electrolyte for Safe and Long‐Life Lithium‐Metal Batteries,2020.0,512,0.99851308,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adma.201707629,Dual‐Layered Film Protected Lithium Metal Anode to Enable Dendrite‐Free Lithium Deposition,2018.0,507,0.99887284,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsami.7b01137,Interfacial Processes and Influence of Composite Cathode Microstructure Controlling the Performance of All-Solid-State Lithium Batteries,2017.0,501,0.99632361,,False,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1002/adfm.202007172,Homogeneous and Fast Ion Conduction of PEO‐Based Solid‐State Electrolyte at Low Temperature,2020.0,498,0.99788678,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adfm.201502265,Carbon‐Stabilized High‐Capacity Ferroferric Oxide Nanorod Array for Flexible Solid‐State Alkaline Battery–Supercapacitor Hybrid Device with High Environmental Suitability,2015.0,495,0.99805158,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201502265,True,Yearly TOP 1.0% cited,1,Success (API)
10.1021/jacs.0c00134,Site-Occupation-Tuned Superionic Li<sub><i>x</i></sub>ScCl<sub>3+<i>x</i></sub>Halide Solid Electrolytes for All-Solid-State Batteries,2020.0,485,0.99794531,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acs.chemmater.6b02282,Fluoroethylene Carbonate and Vinylene Carbonate Reduction: Understanding Lithium-Ion Battery Electrolyte Additives and Solid Electrolyte Interphase Formation,2016.0,484,0.99611657,,True,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1038/s41563-019-0576-0,Clarifying the relationship between redox activity and electrochemical stability in solid electrolytes,2020.0,480,0.9981706,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41586-020-1972-y,Li metal deposition and stripping in a solid-state battery via Coble creep,2020.0,480,0.99895012,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1039/c1ee01918j,In situ TEM electrochemistry of anode materials in lithium ion batteries,2011.0,479,0.99774036,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/jacs.8b10282,Inducing High Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6+<i>x</i></sub>P<sub>1–<i>x</i></sub>Ge<sub><i>x</i></sub>S<sub>5</sub>I for All-Solid-State Batteries,2018.0,479,0.99731353,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41565-023-01341-2,A dielectric electrolyte composite with high lithium-ion conductivity for high-voltage solid-state lithium metal batteries,2023.0,479,0.99984458,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1039/c9ee01548e,A bird's-eye view of Li-stuffed garnet-type Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub> ceramic electrolytes for advanced all-solid-state Li batteries,2019.0,478,0.99834729,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41586-023-05970-4,Dendrite initiation and propagation in lithium metal solid-state batteries,2023.0,473,0.99982415,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201903376,"Solvent‐Free Synthesis of Thin, Flexible, Nonflammable Garnet‐Based Composite Solid Electrolyte for All‐Solid‐State Lithium Batteries",2020.0,471,0.99905827,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.joule.2018.02.007,Interphase Engineering Enabled All-Ceramic Lithium Battery,2018.0,462,0.99837832,http://www.cell.com/article/S2542435118300539/pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/nature03186,Increasing the conductivity of crystalline polymer electrolytes,2005.0,458,0.99638594,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1126/science.abq1346,High-entropy mechanism to boost ionic conductivity,2022.0,457,0.99953692,,False,Yearly TOP 1.0% cited,1,Success (Crawling)
10.1016/j.mseb.2014.11.014,"Fundamental degradation mechanisms of layered oxide Li-ion battery cathode materials: Methodology, insights and novel approaches",2014.0,456,0.99418516,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/jacs.6b10088,Reshaping Lithium Plating/Stripping Behavior via Bifunctional Polymer Electrolyte for Room-Temperature Solid Li Metal Batteries,2016.0,456,0.99830194,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acsenergylett.9b02599,High-Voltage Superionic Halide Solid Electrolytes for All-Solid-State Li-Ion Batteries,2020.0,455,0.99804894,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/j.joule.2019.06.017,Characterizing the Li-Solid-Electrolyte Interface Dynamics as a Function of Stack Pressure and Current Density,2019.0,453,0.99817032,http://www.cell.com/article/S2542435119303083/pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acs.chemmater.6b03870,Electrochemical Nature of the Cathode Interface for a Solid-State Lithium-Ion Battery: Interface between LiCoO<sub>2</sub> and Garnet-Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub>,2016.0,452,0.99508962,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1126/science.262.5135.883,Crystal Structure of the Polymer Electrolyte Poly(ethylene oxide) <sub>3</sub> :LiCF <sub>3</sub> SO <sub>3</sub>,1993.0,450,0.99687668,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/anie.201909805,Water‐Mediated Synthesis of a Superionic Halide Solid Electrolyte,2019.0,449,0.99578838,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.jpowsour.2015.09.111,A new solid polymer electrolyte incorporating Li10GeP2S12 into a polyethylene oxide matrix for all-solid-state lithium batteries,2015.0,447,0.99298364,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acs.nanolett.7b00221,Solid-State Lithium–Sulfur Batteries Operated at 37 °C with Composites of Nanostructured Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub>/Carbon Foam and Polymer,2017.0,445,0.99831346,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adma.201807789,Extended Electrochemical Window of Solid Electrolytes via Heterogeneous Multilayered Structure for High‐Voltage Lithium Metal Batteries,2019.0,445,0.99862342,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adma.202000223,In Situ Construction of a LiF‐Enriched Interface for Stable All‐Solid‐State Batteries and its Origin Revealed by Cryo‐TEM,2020.0,437,0.99841846,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nchem.2470,Dynamic formation of a solid-liquid electrolyte interphase and its consequences for hybrid-battery concepts,2016.0,436,0.99657192,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41563-021-01019-x,Local electronic structure variation resulting in Li ‘filament’ formation within solid electrolytes,2021.0,433,0.99919015,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/chem.201101486,Lithium‐Ion Conducting Electrolyte Salts for Lithium Batteries,2011.0,432,0.99566171,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsnano.6b06797,Improved Lithium Ionic Conductivity in Composite Polymer Electrolytes with Oxide-Ion Conducting Nanowires,2016.0,422,0.99349544,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/j.joule.2019.02.006,Computational Screening of Cathode Coatings for Solid-State Batteries,2019.0,418,0.99768275,http://www.cell.com/article/S2542435119300868/pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41563-021-00967-8,Visualizing plating-induced cracking in lithium-anode solid-electrolyte cells,2021.0,418,0.99908498,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adfm.201901047,Intercalated Electrolyte with High Transference Number for Dendrite‐Free Solid‐State Lithium Batteries,2019.0,412,0.99840766,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.202000049,Stable Seamless Interfaces and Rapid Ionic Conductivity of Ca–CeO<sub>2</sub>/LiTFSI/PEO Composite Electrolyte for High‐Rate and High‐Voltage All‐Solid‐State Battery,2020.0,411,0.9980129,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202000049,True,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsami.7b00336,Suppression of Lithium Dendrite Formation by Using LAGP-PEO (LiTFSI) Composite Solid Electrolyte and Lithium Metal Anode Modified by PEO (LiTFSI) in All-Solid-State Lithium Batteries,2017.0,407,0.99690724,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adma.202002741,Solid‐State Electrolyte Design for Lithium Dendrite Suppression,2020.0,407,0.99754434,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201602923,High‐Performance All‐Solid‐State Lithium–Sulfur Batteries Enabled by Amorphous Sulfur‐Coated Reduced Graphene Oxide Cathodes,2017.0,406,0.99723352,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.nanoen.2019.04.058,In-situ formed Li2CO3-free garnet/Li interface by rapid acid treatment for dendrite-free solid-state batteries,2019.0,405,0.99759207,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/aenm.201502214,SiO<sub>2</sub> Hollow Nanosphere‐Based Composite Solid Electrolyte for Lithium Metal Batteries to Suppress Lithium Dendrite Growth and Enhance Cycle Life,2016.0,403,0.99730708,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.joule.2022.02.007,Are solid-state batteries safer than lithium-ion batteries?,2022.0,400,0.99936943,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/jacs.9b08357,New Family of Argyrodite Thioantimonate Lithium Superionic Conductors,2019.0,397,0.99652187,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adma.201704436,A Metal–Organic‐Framework‐Based Electrolyte with Nanowetted Interfaces for High‐Energy‐Density Solid‐State Lithium Battery,2017.0,395,0.99261046,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.matt.2020.02.008,"Li Penetration in Ceramic Solid Electrolytes: Operando Microscopy Analysis of Morphology, Propagation, and Reversibility",2020.0,395,0.9982472,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acsami.7b18123,3D Fiber-Network-Reinforced Bicontinuous Composite Solid Electrolyte for Dendrite-free Lithium Metal Batteries,2018.0,391,0.99695713,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1039/c8ee00540k,The role of the solid electrolyte interphase layer in preventing Li dendrite growth in solid-state batteries,2018.0,391,0.99742492,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/anie.202101537,Designing Polymer‐in‐Salt Electrolyte and Fully Infiltrated 3D Electrode for Integrated Solid‐State Lithium Batteries,2021.0,390,0.9989202,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/jacs.9b03517,Engineering Janus Interfaces of Ceramic Electrolyte via Distinct Functional Polymers for Stable High-Voltage Li-Metal Batteries,2019.0,386,0.99750576,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41586-023-05899-8,A LaCl3-based lithium superionic conductor compatible with lithium metal,2023.0,384,0.99971779,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201500353,In Situ Synthesis of a Hierarchical All‐Solid‐State Electrolyte Based on Nitrile Materials for High‐Performance Lithium‐Ion Batteries,2015.0,379,0.99170677,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsenergylett.8b00453,Drawing a Soft Interface: An Effective Interfacial Modification Strategy for Garnet-Type Solid-State Li Batteries,2018.0,372,0.99754965,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41563-020-00903-2,Linking void and interphase evolution to electrochemistry in solid-state batteries using operando X-ray tomography,2021.0,372,0.99867313,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41467-019-13178-2,A sodium-ion sulfide solid electrolyte with unprecedented conductivity at room temperature,2019.0,368,0.99657375,https://www.nature.com/articles/s41467-019-13178-2.pdf,True,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acs.chemmater.5b01023,First-Principles Studies on Cation Dopants and Electrolyte|Cathode Interphases for Lithium Garnets,2015.0,367,0.99143773,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acsami.6b13925,Investigating the Dendritic Growth during Full Cell Cycling of Garnet Electrolyte in Direct Contact with Li Metal,2017.0,365,0.99677397,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1002/adma.202100353,10 μm‐Thick High‐Strength Solid Polymer Electrolytes with Excellent Interface Compatibility for Flexible All‐Solid‐State Lithium‐Metal Batteries,2021.0,365,0.99917642,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsami.7b11530,The Detrimental Effects of Carbon Additives in Li<sub>10</sub>GeP<sub>2</sub>S<sub>12</sub>-Based Solid-State Batteries,2017.0,361,0.99127318,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acsenergylett.8b00249,Effect of Pore Connectivity on Li Dendrite Propagation within LLZO Electrolytes Observed with Synchrotron X-ray Tomography,2018.0,360,0.99615518,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41563-021-01172-3,Suspension electrolyte with modified Li+ solvation environment for lithium metal batteries,2022.0,359,0.99915266,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.joule.2019.09.021,Asymmetric Temperature Modulation for Extreme Fast Charging of Lithium-Ion Batteries,2019.0,358,0.996332,http://www.cell.com/article/S2542435119304817/pdf,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1016/j.ensm.2018.07.004,Solid polymer electrolyte soft interface layer with 3D lithium anode for all-solid-state lithium batteries,2018.0,356,0.99648932,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41565-019-0604-x,Lithium whisker growth and stress generation in an in situ atomic force microscope–environmental transmission electron microscope set-up,2020.0,354,0.99742268,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.202000779,Inhibition of Polysulfide Shuttles in Li–S Batteries: Modified Separators and Solid‐State Electrolytes,2020.0,354,0.99733256,,False,Yearly TOP 1.0% cited,1,Success (API)
