doi,title,publication_year,cited_by_count,citation_normalized_percentile,pdf_url,open_access,source,priority,download_status
10.1016/j.ensm.2023.02.012,"In situ 3D crosslinked gel polymer electrolyte for ultra-long cycling, high-voltage, and high-safety lithium metal batteries",2023.0,136,0.99674467,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.chempr.2022.01.002,Regulating liquid and solid-state electrolytes for solid-phase conversion in Li–S batteries,2022.0,133,0.99286657,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.joule.2022.10.011,Controlling dendrite propagation in solid-state batteries with engineered stress,2022.0,124,0.99132478,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.cej.2022.135106,Porous poly(vinylidene fluoride) supported three-dimensional poly(ethylene glycol) thin solid polymer electrolyte for flexible high temperature all-solid-state lithium metal batteries,2022.0,115,0.99044278,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2023.232659,Sb and O dual doping of Chlorine-rich lithium argyrodite to improve air stability and lithium compatibility for all-solid-state batteries,2023.0,108,0.99467124,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2023.103091,A multifunctional Janus layer for LLZTO/PEO composite electrolyte with enhanced interfacial stability in solid-state lithium metal batteries,2023.0,108,0.99474485,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.matt.2023.04.012,Inhibiting gas generation to achieve ultralong-lifespan lithium-ion batteries at low temperatures,2023.0,104,0.99428219,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.joule.2023.07.022,Structural and electrochemical evolution of alloy interfacial layers in anode-free solid-state batteries,2023.0,102,0.99407769,http://www.cell.com/article/S2542435123003203/pdf,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.mattod.2023.03.001,Achieving stable all-solid-state lithium-metal batteries by tuning the cathode-electrolyte interface and ionic/electronic transport within the cathode,2023.0,92,0.99260938,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1246/cl.220540,TaCl<sub>5</sub>-glassified Ultrafast Lithium Ion-conductive Halide Electrolytes for High-performance All-solid-state Lithium Batteries,2023.0,88,0.99173412,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.joule.2023.12.022,"Fast-charge, long-duration storage in lithium batteries",2024.0,70,0.99530125,http://www.cell.com/article/S2542435123005408/pdf,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2024.103619,Materials advancements in solid-state inorganic electrolytes for highly anticipated all solid Li-ion batteries,2024.0,70,0.99539353,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2024.103281,In-situ formation of quasi-solid polymer electrolyte for wide-temperature applicable Li-metal batteries,2024.0,55,0.99201055,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.surfin.2024.104048,An in-situ synergistic enhancement strategy from g-C3N4 and PDOL composite solid electrolyte on the interface stability of solid-state lithium battery,2024.0,53,0.9913869,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.greenca.2024.02.005,Optimization of two-dimensional solid-state electrolyte–anode interface by integrating zinc into composite anode with dual-conductive phases,2024.0,52,0.99099553,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2006.01.038,Power and thermal characterization of a lithium-ion battery pack for hybrid-electric vehicles,2006.0,729,0.96782373,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.ssi.2012.06.008,"Mechanochemical synthesis of Li-argyrodite Li6PS5X (X=Cl, Br, I) as sulfur-based solid electrolytes for all solid state batteries application",2012.0,504,0.95873807,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1149/2.030207jes,Separation of Charge Transfer and Contact Resistance in LiFePO<sub>4</sub>-Cathodes by Impedance Modeling,2012.0,286,0.97234024,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.ssi.2014.10.017,Interface reactions between LiPON and lithium studied by in-situ X-ray photoemission,2014.0,256,0.97267852,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1149/2.085207jes,Nanoscale Interface Modification of LiCoO<sub>2</sub>by Al<sub>2</sub>O<sub>3</sub>Atomic Layer Deposition for Solid-State Li Batteries,2012.0,209,0.97114918,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2019.01.018,Manipulating Li2O atmosphere for sintering dense Li7La3Zr2O12 solid electrolyte,2019.0,193,0.98574696,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/0167-2738(82)90012-1,Lithium nitride and related materials case study of the use of modern solid state research techniques☆,1982.0,185,0.88551833,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.elecom.2016.02.022,A highly-concentrated poly(ethylene carbonate)-based electrolyte for all-solid-state Li battery working at room temperature,2016.0,184,0.98933654,,True,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jallcom.2013.12.191,Improved chemical stability and cyclability in Li2S–P2S5–P2O5–ZnO composite electrolytes for all-solid-state rechargeable lithium batteries,2014.0,153,0.9571172,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.etran.2019.100010,Practical evaluation of energy densities for sulfide solid-state batteries,2019.0,152,0.98170747,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.nanoen.2021.106643,A fast and low-cost interface modification method to achieve high-performance garnet-based solid-state lithium metal batteries,2021.0,140,0.98973275,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2017.03.103,Impedance characterization reveals mixed conducting interphases between sulfidic superionic conductors and lithium metal electrodes,2017.0,135,0.96896211,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.cej.2021.133352,High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,2021.0,135,0.98770126,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.nanoen.2021.106542,Dual CuCl doped argyrodite superconductor to boost the interfacial compatibility and air stability for all solid-state lithium metal batteries,2021.0,134,0.98551878,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/s0378-7753(97)02516-0,Innovative insertion material of LiAl1/4Ni3/4O2 (R-m) for lithium-ion (shuttlecock) batteries,1997.0,132,0.96469887,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jeurceramsoc.2017.03.048,Mechanical and physical properties of LiNi0.33Mn0.33Co0.33O2 (NMC),2017.0,131,0.91631481,,True,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.nanoen.2021.106679,In-situ polymerized solid-state electrolytes with stable cycling for Li/LiCoO2 batteries,2021.0,121,0.98729405,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2016.09.051,Oxygen vacancies in SnO2 surface coating to enhance the activation of layered Li-Rich Li1.2Mn0.54Ni0.13Co0.13O2 cathode material for Li-ion batteries,2016.0,115,0.98178484,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2014.02.065,Excess lithium salt functions more than compensating for lithium loss when synthesizing Li6.5La3Ta0.5Zr1.5O12 in alumina crucible,2014.0,114,0.94590939,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1149/1.2055048,Application of Solid Polymer Electrolyte to Lithium/Polypyrrole Secondary Battery System,1994.0,113,0.96834653,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1149/1.3374634,Life-Prediction Methods for Lithium-Ion Batteries Derived from a Fatigue Approach,2010.0,111,0.97437968,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2014.05.033,State-of-health monitoring of 18650 4S packs with a single-point impedance diagnostic,2014.0,111,0.96757531,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.nanoen.2022.107105,Hydrogen bonds enhanced composite polymer electrolyte for high-voltage cathode of solid-state lithium battery,2022.0,107,0.98880722,,True,Overall Top Citation,2,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.12.013,Assessing the critical current density of all-solid-state Li metal symmetric and full cells,2022.0,107,0.98874318,,False,Overall Top Citation,2,Failed (Crawling Timeout or Error)
